,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest23072,牛角日本燒肉專門店 (康怡廣場),Gyu-Kaku (康怡廣場),4.5,4.0,745.0,Taikoo ,201.0,日本菜,1,1,0
rest23073,一粥麵,Super Super Congee & Noodle,2.0,6.0,37.0,Ma On Shan,51.0,港式,0,3,1
rest23074,爭鮮外帶壽司,Sushi Take-Out,4.0,13.0,228.0,Hung Hom,50.0,日本菜,7,2,0
rest23075,度小月 (V Walk),Du Hsiao Yueh (V Walk),3.5,44.0,819.0,Shum Shui Po,51.0,台灣菜,17,12,5
rest23076,撈得店,,,,58.0,Tseung Kwan O,50.0,港式,2,0,0
rest23077,茶木‧台式休閒餐廳,TeaWood Taiwanese Cafe & Restaurant,3.5,52.0,844.0,Sheung Shui,51.0,台灣菜,19,13,3
rest23078,田村麵包店,,3.5,14.0,73.0,Shum Shui Po,50.0,港式,5,3,2
rest23079,Home‧焙小日子,Home Baking Day,4.0,19.0,472.0,Tsuen Wan,201.0,西式,10,1,1
rest23080,美心西餅,Maxim's Cake Shop,3.5,52.0,116.0,Ma On Shan,50.0,港式,26,12,0
rest23081,楚撚記大排檔,ChorLand Cookfood Stall,4.0,40.0,4910.0,Tsuen Wan,101.0,粵菜,28,6,2
rest23082,霸王川莊,Sichuan House,4.0,70.0,5538.0,Tsim Sha Tsui,201.0,川菜,37,9,6
rest23083,煒成麵飽食品店,,4.0,27.0,124.0,Tai Po,50.0,港式,17,6,1
rest23084,利源水果之店,,,,15.0,Kwun Tong,50.0,港式,0,0,0
rest23085,Lobster & Mussels by Paul's Kitchen,,3.5,25.0,2722.0,Central,201.0,英國菜,18,3,3
rest23086,黃河餐廳小廚,Winson Restaurant,3.0,5.0,147.0,To Kwa Wan,50.0,港式,1,3,0
rest23087,榮記快餐店,Win's fast food shop,4.0,3.0,17.0,Aberdeen,50.0,港式,2,1,0
rest23088,優質堂國際有限公司,A Style International Ltd.,,,30.0,Kwai Chung,201.0,日本菜,1,1,0
rest23089,鄉下仔魚蛋粉,,,,3.0,Choi Hung,50.0,港式,0,0,0
rest23090,必勝客,Pizza Hut,4.0,4.0,66.0,Tseung Kwan O,101.0,意大利菜,3,1,0
rest23091,爭鮮迴轉壽司,Sushi Express,3.5,19.0,140.0,Tsuen Wan,51.0,日本菜,8,2,1
rest23092,City Fresh Kitchen,,,,16.0,Quarry Bay,51.0,西式,0,0,0
rest23093,元気寿司,Genki Sushi,3.0,11.0,204.0,Tseung Kwan O,101.0,日本菜,2,4,0
rest23094,鼎天茶室,T Tea House,,,82.0,Tai Po,51.0,港式,1,0,0
rest23095,榮興車仔麵,Wing Hing Noodle,3.5,32.0,305.0,Yuen long,50.0,粵菜,20,6,4
rest23096,明星海鮮酒家,Star Seafood Restaurant,3.0,41.0,647.0,Yau Tong,101.0,粵菜,11,13,5
rest23097,肯德基家鄉雞 (KFC),Kentucky Fried Chicken,3.0,34.0,316.0,Tsim Sha Tsui,50.0,美國菜,8,12,7
rest23098,爭鮮迴轉壽司,Sushi Express,3.0,31.0,762.0,Mong Kok,51.0,日本菜,8,13,2
rest23099,潮香園美食,,,,8.0,Wan Chai,50.0,港式,0,0,0
rest23100,榮發小廚,Wing Fat Kitchen,3.5,19.0,183.0,Tai Po,51.0,潮州菜,7,4,2
rest23101,Godenya,,4.5,3.0,1081.0,Sheung Wan,801.0,日本菜,2,0,0
rest23102,林記茶餐廳,,3.5,5.0,30.0,Yuen long,50.0,港式,3,1,0
rest23103,Issa U Kitchen,,,,547.0,Fo Tan,201.0,多國菜,0,0,0
rest23104,福記茶莊,Fuk Kee Tea Farm,,,18.0,Tsuen Wan,50.0,港式,1,0,0
rest23105,翡翠拉麵小籠包,Crystal Jade La Mian Xiao Long Bao,3.0,73.0,2609.0,Admiralty,101.0,滬菜,27,18,12
rest23106,豪宴海鮮酒家,Ho Yin Seafood Restaurant,3.0,46.0,504.0,Tseung Kwan O,101.0,粵菜,5,20,10
rest23107,金城小廚,Golden City Kitchen,3.0,36.0,341.0,Tai Wai,51.0,粵菜,15,9,8
rest23108,Food Tree Korean Cuisine,,3.0,24.0,314.0,Tung Chung,51.0,韓國菜,9,6,2
rest23109,青辣椒,GreenChili,,,41.0,Tsing Yi,50.0,泰國菜,0,2,0
rest23110,香港賽馬會-凱旋廳,"Oi Suen Restaurant, The Hong Kong Jockey Club",4.0,18.0,427.0,Shatin,101.0,粵菜,11,6,0
rest23111,李圓圓,Bubble Lee,4.5,27.0,317.0,Kwun Tong,50.0,台灣菜,16,2,1
rest23112,青鳥居酒屋,Blue Bird Japanese Restaurant,3.5,25.0,98.0,Lamma Island,101.0,日本菜,16,5,4
rest23113,金牌源記,,4.5,66.0,1622.0,Tsuen Wan,101.0,港式,53,3,1
rest23114,煮八,Boil To Eight,3.5,29.0,409.0,Tin Shui Wai,50.0,多國菜,19,4,1
rest23115,銀座大倉日本料理,Ginza Okura Japanese Restaurant,4.0,44.0,3302.0,Tsim Sha Tsui,801.0,日本菜,33,2,4
rest23116,火鍋隨意門,Hotspot,4.5,53.0,1590.0,Causeway Bay,201.0,多國菜,50,2,0
rest23117,新海洋快餐,New Ocean Fast Food,,,2.0,Fo Tan,50.0,港式,0,0,0
rest23118,煲煲好,,3.0,10.0,115.0,Shum Shui Po,50.0,港式,7,0,1
rest23119,KaS Simply Deli,,4.0,16.0,776.0,Quarry Bay,101.0,西式,6,5,0
rest23120,吉野家,Yoshinoya,3.5,25.0,254.0,Tseung Kwan O,50.0,日本菜,12,5,2
rest23121,中國廚房/台灣牛肉麵,CHINESE KITCHEN,,,132.0,Tsim Sha Tsui,51.0,台灣菜,1,0,0
rest23122,江湖小棧,,3.5,85.0,8282.0,Tsuen Wan,51.0,港式,49,16,6
rest23123,撈起小食店,,3.5,3.0,23.0,Ngau Tau Kok,50.0,港式,1,0,1
rest23124,山崎麵飽,Yamazaki Bakery,,,14.0,Tsim Sha Tsui,50.0,日本菜,1,0,0
rest23125,源味燒臘坊,,,,10.0,Ma On Shan,51.0,港式,0,0,0
