,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest5419,Playground,,,,60.0,Repulse Bay,50.0,西式,"South Bay Road(Near South Bay Beach), Repulse Bay",1,0,0
rest5420,鳴門魚市場居酒屋,Naruto Uo Ichiba Izakaya,3.5,137.0,4576.0,Tsuen Wan,201.0,日本菜,"Shop 37, UG/F, City Walk, 1 Yeung Uk Road, Tsuen Wan",71,36,14
rest5421,Kelly's Cape Bop,,3.5,70.0,8458.0,Wan Chai,51.0,韓國菜,"G/F, 57 Johnston Road, Wan Chai",46,14,3
rest5422,華峰美食,Wa Fung Fine Food,3.5,11.0,306.0,Kwun Tong,50.0,港式,"Flat A, 1/F, Yip Win Factory Bldg, 10 Tsun Yip Lane, Kwun Tong",4,2,1
rest5423,i CREMERiA,,4.0,26.0,281.0,Tung Chung,51.0,日本菜,"Shop 263, 2/F, Citygate Outlets, 20 Tat Tung Road, Tung Chung",14,4,0
rest5424,柴灣沙嗲佬,,,,137.0,Chai Wan,51.0,港式,"Shop 102, G/F, Lok Hin Terrace, 350 Chai Wan Road, Chai Wan",1,0,0
rest5425,阿土伯鹽水雞,Mr Tuu,4.0,73.0,2819.0,Lai Chi Kok,50.0,台灣菜,"Shop 313, 3/F, D2 Place TWO,15 Cheung Shun Street, Lai Chi Kok",45,12,3
rest5426,清玉 (藍馬之城),Kingyo (藍馬之城),,,139.0,Prince Edward,50.0,台灣菜,"Shop 1, G/F, The Lamma City, 761 Nathan Road, Prince Edward",1,0,0
rest5427,Ga Ga Cuisine,,3.0,3.0,26.0,Pok Fu Lam,50.0,港式,"Shop 409, 4/F, The Arcade, Cyberport, 100 Cyberport Road, Pok Fu Lam",1,0,0
rest5428,銀龍粉麵茶餐廳,Ngan Lung Restaurant,3.0,39.0,162.0,Tin Shui Wai,51.0,港式,"Shop 106, 1/F Tin Yan Shopping Centre, Tin Yan Court,, Tin Shui Wai",8,11,7
